Order ID,Invoice ID,New Invoice ID,Invoice Reference Number (IRN),Shipment date,Invoice date,GST ID,ASIN,SKU,Item Title,Quantity,Item Cost,GST Rate,CESS Rate,HSN,Warehouse Code/Name,Status,Tax Collected at Source (TCS)
UVx7998tt,UXHVwdb9t-203x,INVOICE0003,,7 Mar  2024 12:48:31 PM IST,8 Mar  2024 8:40:30 PM IST,07AAFCV4903R1ZR,B0CS6VJF8T,VKAMCLEANER0054,AUTOGUYS MAJIKO-4 Soft Microfiber Car Duster Car Brush for Car Cleaning Car Surface Wet & Dry Duster Multipurpose (Extendable) Dusting Brush ‎(Assorted Colour),1,Rs.100.00,12%,0%,96039100,EIHR/Vendorskart Online Services Pvt Ltd,Non-submitted,0
Ugy55GVxt,UXHVwdb9t-203x,INVOICE0003,,4 Mar  2024 3:10:55 PM IST,8 Mar  2024 8:40:30 PM IST,07AAFCV4903R1ZR,B0CS6VJF8T,VKAMCLEANER0054,AUTOGUYS MAJIKO-4 Soft Microfiber Car Duster Car Brush for Car Cleaning Car Surface Wet & Dry Duster Multipurpose (Extendable) Dusting Brush ‎(Assorted Colour),1,Rs.100.00,12%,0%,96039100,EIHR/Vendorskart Online Services Pvt Ltd,Non-submitted,0
UXNF2JV3t,UXHVwdb9t-203x,INVOICE0003,,4 Mar  2024 3:10:55 PM IST,8 Mar  2024 8:40:30 PM IST,07AAFCV4903R1ZR,B08V8FT1C7,B08V8FT1C7,Autofy Multipurpose Microfiber 800 GSM Pack of 3-40cm x 40cm Cleaning Towel Microfibre Cloth Highly Absorbent Dust Towels for All Vehicles Bikes Cars Glass Kitchens - Multicolour,1,Rs.100.00,12%,0%,63071110,EIHR/Vendorskart Online Services Pvt Ltd,Non-submitted,0
UVSxlFWWt,UXHVwdb9t-203x,INVOICE0003,,1 Mar  2024 2:16:27 PM IST,8 Mar  2024 8:40:30 PM IST,07AAFCV4903R1ZR,B0CSPHZMHS,VKAMCOMBO0030,Autofy Brush RAGE-1 RAGE-2 Car Cleaning Brush with Handle and Dust Cover Car AC Vent Cleaner Dashboard Cleaner Accessories for Detailing Brush Multipurpose Gadget Cleaner Car Duster Brush (2Pcs Combo),1,Rs.100.00,12%,0%,96039100,EIHR/Vendorskart Online Services Pvt Ltd,Non-submitted,0
U1Scb28vt,UXHVwdb9t-203x,INVOICE0003,,7 Mar  2024 2:20:55 PM IST,8 Mar  2024 8:40:30 PM IST,07AAFCV4903R1ZR,B0CS6VJF8T,VKAMCLEANER0054,AUTOGUYS MAJIKO-4 Soft Microfiber Car Duster Car Brush for Car Cleaning Car Surface Wet & Dry Duster Multipurpose (Extendable) Dusting Brush ‎(Assorted Colour),1,Rs.100.00,12%,0%,96039100,EIHR/Vendorskart Online Services Pvt Ltd,Non-submitted,0
UN8KSKMyt,UXHVwdb9t-203x,INVOICE0003,,5 Mar  2024 2:57:26 PM IST,8 Mar  2024 8:40:30 PM IST,07AAFCV4903R1ZR,B08V8Y4BVF,B08V8Y4BVF,Autofy Multipurpose Microfiber 800 GSM Pack of 2-40cm x 40cm Cleaning Towel Microfibre Cloth Highly Absorbent Dust Towels for All Vehicles Bikes Cars Glass Kitchens - Multicolour,1,Rs.100.00,12%,0%,63071110,EIHR/Vendorskart Online Services Pvt Ltd,Non-submitted,0
Uw8ClK8St,UXHVwdb9t-203x,INVOICE0003,,7 Mar  2024 12:48:32 PM IST,8 Mar  2024 8:40:30 PM IST,07AAFCV4903R1ZR,B08V8FT1C7,B08V8FT1C7,Autofy Multipurpose Microfiber 800 GSM Pack of 3-40cm x 40cm Cleaning Towel Microfibre Cloth Highly Absorbent Dust Towels for All Vehicles Bikes Cars Glass Kitchens - Multicolour,1,Rs.100.00,12%,0%,63071110,EIHR/Vendorskart Online Services Pvt Ltd,Non-submitted,0
U6Nsr3Btt,UXHVwdb9t-203x,INVOICE0003,,5 Mar  2024 2:57:26 PM IST,8 Mar  2024 8:40:30 PM IST,07AAFCV4903R1ZR,B08V8FT1C7,B08V8FT1C7,Autofy Multipurpose Microfiber 800 GSM Pack of 3-40cm x 40cm Cleaning Towel Microfibre Cloth Highly Absorbent Dust Towels for All Vehicles Bikes Cars Glass Kitchens - Multicolour,1,Rs.100.00,12%,0%,63071110,EIHR/Vendorskart Online Services Pvt Ltd,Non-submitted,0
U3rL5Rbmt,UXHVwdb9t-203x,INVOICE0003,,4 Mar  2024 3:10:55 PM IST,8 Mar  2024 8:40:30 PM IST,07AAFCV4903R1ZR,B0CS6VJF8T,VKAMCLEANER0054,AUTOGUYS MAJIKO-4 Soft Microfiber Car Duster Car Brush for Car Cleaning Car Surface Wet & Dry Duster Multipurpose (Extendable) Dusting Brush ‎(Assorted Colour),1,Rs.100.00,12%,0%,96039100,EIHR/Vendorskart Online Services Pvt Ltd,Non-submitted,0
Ucj3xwB2t,UXHVwdb9t-203x,INVOICE0003,,5 Mar  2024 2:57:26 PM IST,8 Mar  2024 8:40:30 PM IST,07AAFCV4903R1ZR,B0CS6VJF8T,VKAMCLEANER0054,AUTOGUYS MAJIKO-4 Soft Microfiber Car Duster Car Brush for Car Cleaning Car Surface Wet & Dry Duster Multipurpose (Extendable) Dusting Brush ‎(Assorted Colour),1,Rs.100.00,12%,0%,96039100,EIHR/Vendorskart Online Services Pvt Ltd,Non-submitted,0
